country,year,crop_yield_t_per_ha,fertilizer_kg_per_ha,rainfall_mm,temperature_c,irrigation_pct,gdp_agri_usd_b,agri_employment_pct,rural_pop_pct,co2_agri_mt,food_inflation_pct
Bolivia,2011,1.0,113.1,951.0,17.4,15.1,11.7,31.53,29.18,10.03,8.18
Bolivia,2012,2.925,109.1,1147.0,19.8,19.3,12.12,32.15,29.99,10.94,7.39
Bolivia,2013,1.0,107.6,1084.0,17.5,17.0,12.55,31.6,29.84,9.67,0.39
Bolivia,2014,2.495,119.6,1009.0,19.5,18.0,11.81,30.21,28.72,10.48,2.0
Bolivia,2015,3.379,119.4,968.0,20.0,18.7,11.39,29.24,27.37,10.15,2.26
Bolivia,2016,1.573,121.8,1155.0,18.7,19.2,11.65,30.2,28.8,7.0,-3.01
Bolivia,2017,2.004,125.5,1083.0,19.0,18.5,12.83,30.52,27.33,12.51,6.09
Bolivia,2018,1.377,133.8,1013.0,18.7,22.4,9.64,28.75,25.97,10.63,3.98
Bolivia,2019,3.373,120.8,897.0,20.6,23.2,11.73,29.08,25.6,7.86,4.53
Bolivia,2020,1.095,131.2,808.0,18.1,20.1,12.62,29.25,25.08,12.84,1.8
Bolivia,2021,1.701,134.1,835.0,18.5,20.7,13.0,28.62,26.67,13.31,3.97
Bolivia,2022,1.0,154.9,1235.0,17.8,18.3,14.01,27.77,24.27,11.34,6.68
Bolivia,2023,1.0,132.3,919.0,18.2,18.6,14.97,28.28,25.42,10.86,4.26
Bolivia,2024,1.0,114.7,835.0,17.3,16.0,11.58,28.59,24.37,13.54,6.64
Paraguay,2010,3.497,115.2,1387.0,23.0,20.9,9.1,22.29,28.06,9.15,1.83
Paraguay,2011,3.077,127.3,1396.0,23.8,24.8,9.56,23.71,27.23,10.48,5.27
Paraguay,2012,3.869,109.0,1273.0,21.3,24.4,12.1,21.92,27.41,7.81,2.49
Paraguay,2013,3.632,126.9,1571.0,22.2,24.7,11.3,22.58,26.49,9.16,4.54
Paraguay,2014,3.535,135.6,1401.0,23.1,26.0,12.99,21.58,26.66,8.62,5.09
Paraguay,2015,3.572,147.0,1357.0,22.4,25.5,9.99,20.29,26.56,9.95,6.0
Paraguay,2016,3.234,134.2,1613.0,23.3,23.7,12.12,20.96,24.11,10.04,8.38
Paraguay,2017,3.699,130.5,1119.0,21.9,23.6,10.87,21.27,25.73,9.31,-4.92
Paraguay,2018,3.867,151.2,867.0,22.4,21.4,14.43,20.19,25.08,11.1,12.34
Paraguay,2019,3.554,145.3,1068.0,23.6,22.5,13.45,20.29,23.31,10.54,8.87
Paraguay,2020,3.801,128.0,1281.0,23.3,20.4,13.37,20.53,24.19,10.5,12.44
Paraguay,2021,4.167,153.1,1723.0,22.5,22.8,15.71,19.96,23.23,8.93,14.24
Paraguay,2022,3.996,141.2,1443.0,22.7,24.1,16.49,18.62,23.45,13.35,6.86
Paraguay,2023,3.858,145.8,1236.0,22.6,24.1,17.59,18.06,23.4,9.98,6.51
Paraguay,2024,3.877,167.9,1494.0,23.5,22.1,18.16,19.04,21.28,11.16,6.46
Uruguay,2010,1.0,173.7,787.0,17.7,13.7,6.88,9.06,5.87,5.95,6.35
Uruguay,2011,1.0,155.5,1413.0,17.6,15.1,7.13,9.82,5.02,6.71,7.3
Uruguay,2012,1.0,180.2,1153.0,17.9,13.3,8.37,8.82,4.38,8.06,4.96
Uruguay,2013,1.0,164.6,1521.0,16.8,16.9,10.21,7.59,5.36,8.25,8.88
Uruguay,2014,1.507,170.2,1170.0,18.4,17.4,9.78,7.25,3.98,8.35,7.62
Uruguay,2015,1.0,172.7,1066.0,17.4,11.4,10.29,7.45,3.0,4.14,0.01
Uruguay,2016,1.0,170.9,1252.0,17.0,17.7,10.46,7.37,4.23,9.19,3.77
Uruguay,2017,1.0,178.2,1273.0,18.1,14.2,12.39,6.83,3.81,7.78,12.14
Uruguay,2018,1.0,198.1,1096.0,17.5,16.0,12.53,6.62,3.0,6.42,-0.71
Uruguay,2019,1.461,190.2,1362.0,18.2,10.7,11.98,6.2,3.0,6.26,3.44
Uruguay,2020,1.297,198.0,1281.0,18.3,16.1,13.54,5.51,3.0,6.53,6.31
Uruguay,2021,1.0,186.8,1197.0,17.7,13.4,12.98,5.04,3.0,6.71,7.85
Uruguay,2022,2.617,190.5,1110.0,19.3,16.3,13.75,5.7,3.0,8.19,12.99
Uruguay,2023,1.715,202.6,1279.0,19.0,11.8,12.69,5.23,3.0,10.19,3.74
Uruguay,2024,1.122,186.6,804.0,18.1,15.6,14.84,5.45,3.0,8.11,-3.54
